Id,Expected
0,neutral
1,surprise
2,anger
3,neutral
4,joy
5,non-neutral
6,neutral
7,non-neutral
8,surprise
9,neutral
10,non-neutral
11,neutral
12,neutral
13,neutral
14,non-neutral
15,surprise
16,sadness
17,surprise
18,neutral
19,non-neutral
20,neutral
21,neutral
22,surprise
23,non-neutral
24,joy
25,anger
26,anger
27,non-neutral
28,anger
29,anger
30,anger
31,joy
32,neutral
33,neutral
34,neutral
35,non-neutral
36,neutral
37,neutral
38,surprise
39,neutral
40,neutral
41,joy
42,surprise
43,neutral
44,non-neutral
45,surprise
46,sadness
47,sadness
48,non-neutral
49,neutral
50,neutral
51,neutral
52,neutral
53,neutral
54,neutral
55,neutral
56,surprise
57,joy
58,non-neutral
59,non-neutral
60,non-neutral
61,neutral
62,surprise
63,neutral
64,neutral
65,non-neutral
66,neutral
67,surprise
68,non-neutral
69,joy
70,anger
71,neutral
72,neutral
73,neutral
74,neutral
75,anger
76,surprise
77,surprise
78,joy
79,anger
80,non-neutral
81,surprise
82,neutral
83,joy
84,neutral
85,joy
86,joy
87,neutral
88,neutral
89,neutral
90,neutral
91,neutral
92,neutral
93,neutral
94,non-neutral
95,sadness
96,neutral
97,non-neutral
98,neutral
99,neutral
100,neutral
101,neutral
102,non-neutral
103,surprise
104,joy
105,neutral
106,neutral
107,non-neutral
108,neutral
109,non-neutral
110,neutral
111,neutral
112,non-neutral
113,neutral
114,neutral
115,neutral
116,surprise
117,non-neutral
118,joy
119,joy
120,surprise
121,neutral
122,surprise
123,neutral
124,non-neutral
125,joy
126,neutral
127,joy
128,joy
129,joy
130,neutral
131,surprise
132,non-neutral
133,non-neutral
134,surprise
135,neutral
136,anger
137,neutral
138,neutral
139,neutral
140,neutral
141,neutral
142,joy
143,surprise
144,surprise
145,neutral
146,surprise
147,neutral
148,surprise
149,surprise
150,neutral
151,non-neutral
152,neutral
153,neutral
154,non-neutral
155,neutral
156,neutral
157,non-neutral
158,neutral
159,neutral
160,neutral
161,surprise
162,non-neutral
163,joy
164,surprise
165,anger
166,sadness
167,sadness
168,neutral
169,non-neutral
170,surprise
171,surprise
172,neutral
173,anger
174,non-neutral
175,sadness
176,non-neutral
177,surprise
178,neutral
179,neutral
180,surprise
181,neutral
182,non-neutral
183,neutral
184,neutral
185,surprise
186,surprise
187,neutral
188,sadness
189,neutral
190,neutral
191,neutral
192,non-neutral
193,neutral
194,neutral
195,neutral
196,non-neutral
197,neutral
198,neutral
199,joy
200,joy
201,joy
202,joy
203,neutral
204,neutral
205,non-neutral
206,neutral
207,non-neutral
208,neutral
209,neutral
210,surprise
211,surprise
212,non-neutral
213,neutral
214,neutral
215,neutral
216,neutral
217,neutral
218,neutral
219,sadness
220,non-neutral
221,neutral
222,neutral
223,neutral
224,neutral
225,joy
226,sadness
227,neutral
228,surprise
229,neutral
230,neutral
231,non-neutral
232,neutral
233,joy
234,neutral
235,surprise
236,neutral
237,non-neutral
238,surprise
239,non-neutral
240,neutral
241,disgust
242,surprise
243,anger
244,non-neutral
245,joy
246,neutral
247,neutral
248,sadness
249,non-neutral
250,joy
251,joy
252,joy
253,neutral
254,surprise
255,non-neutral
256,neutral
257,neutral
258,neutral
259,surprise
260,neutral
261,neutral
262,neutral
263,neutral
264,joy
265,anger
266,non-neutral
267,surprise
268,non-neutral
269,anger
270,neutral
271,non-neutral
272,non-neutral
273,neutral
274,anger
275,neutral
276,non-neutral
277,neutral
278,neutral
279,neutral
280,non-neutral
281,neutral
282,joy
283,neutral
284,neutral
285,neutral
286,joy
287,neutral
288,joy
289,joy
290,joy
291,neutral
292,neutral
293,neutral
294,neutral
295,neutral
296,non-neutral
297,neutral
298,neutral
299,neutral
300,neutral
301,sadness
302,neutral
303,neutral
304,neutral
305,surprise
306,non-neutral
307,non-neutral
308,non-neutral
309,neutral
310,neutral
311,anger
312,neutral
313,neutral
314,non-neutral
315,neutral
316,non-neutral
317,non-neutral
318,surprise
319,sadness
320,neutral
321,surprise
322,surprise
323,surprise
324,non-neutral
325,anger
326,anger
327,neutral
328,neutral
329,neutral
330,neutral
331,neutral
332,non-neutral
333,non-neutral
334,neutral
335,disgust
336,non-neutral
337,neutral
338,surprise
339,neutral
340,surprise
341,surprise
342,neutral
343,surprise
344,joy
345,joy
346,joy
347,neutral
348,non-neutral
349,surprise
350,surprise
351,neutral
352,neutral
353,surprise
354,neutral
355,neutral
356,neutral
357,surprise
358,surprise
359,neutral
360,neutral
361,surprise
362,neutral
363,joy
364,neutral
365,neutral
366,surprise
367,neutral
368,neutral
369,non-neutral
370,sadness
371,non-neutral
372,joy
373,neutral
374,neutral
375,neutral
376,neutral
377,neutral
378,joy
379,joy
380,joy
381,neutral
382,neutral
383,joy
384,neutral
385,neutral
386,surprise
387,neutral
388,neutral
389,neutral
390,neutral
391,sadness
392,surprise
393,non-neutral
394,non-neutral
395,surprise
396,non-neutral
397,neutral
398,joy
399,surprise
400,non-neutral
401,joy
402,sadness
403,anger
404,joy
405,non-neutral
406,anger
407,anger
408,non-neutral
409,anger
410,non-neutral
411,non-neutral
412,neutral
413,surprise
414,neutral
415,neutral
416,neutral
417,sadness
418,neutral
419,neutral
420,neutral
421,neutral
422,neutral
423,disgust
424,neutral
425,neutral
426,non-neutral
427,non-neutral
428,non-neutral
429,neutral
430,surprise
431,neutral
432,neutral
433,surprise
434,neutral
435,neutral
436,non-neutral
437,neutral
438,neutral
439,neutral
440,neutral
441,non-neutral
442,non-neutral
443,neutral
444,anger
445,non-neutral
446,non-neutral
447,neutral
448,non-neutral
449,joy
450,neutral
451,neutral
452,neutral
453,surprise
454,sadness
455,neutral
456,neutral
457,neutral
458,non-neutral
459,joy
460,joy
461,non-neutral
462,surprise
463,neutral
464,joy
465,disgust
466,neutral
467,neutral
468,neutral
469,neutral
470,non-neutral
471,neutral
472,surprise
473,anger
474,neutral
475,non-neutral
476,joy
477,joy
478,anger
479,neutral
480,surprise
481,surprise
482,neutral
483,non-neutral
484,joy
485,neutral
486,neutral
487,neutral
488,non-neutral
489,neutral
490,neutral
491,joy
492,surprise
493,anger
494,surprise
495,non-neutral
496,non-neutral
497,non-neutral
498,joy
499,non-neutral
500,neutral
501,neutral
502,joy
503,neutral
504,neutral
505,surprise
506,non-neutral
507,neutral
508,non-neutral
509,neutral
510,neutral
511,neutral
512,neutral
513,neutral
514,sadness
515,surprise
516,non-neutral
517,joy
518,surprise
519,neutral
520,joy
521,surprise
522,neutral
523,neutral
524,neutral
525,non-neutral
526,non-neutral
527,neutral
528,neutral
529,neutral
530,non-neutral
531,non-neutral
532,neutral
533,neutral
534,surprise
535,joy
536,neutral
537,neutral
538,joy
539,neutral
540,surprise
541,non-neutral
542,non-neutral
543,neutral
544,neutral
545,neutral
546,neutral
547,joy
548,neutral
549,joy
550,neutral
551,non-neutral
552,anger
553,joy
554,joy
555,disgust
556,non-neutral
557,neutral
558,surprise
559,neutral
560,non-neutral
561,neutral
562,surprise
563,non-neutral
564,surprise
565,non-neutral
566,joy
567,surprise
568,neutral
569,joy
570,non-neutral
571,neutral
572,neutral
573,joy
574,surprise
575,neutral
576,surprise
577,neutral
578,surprise
579,surprise
580,neutral
581,joy
582,joy
583,joy
584,neutral
585,non-neutral
586,surprise
587,neutral
588,neutral
589,neutral
590,surprise
591,surprise
592,non-neutral
593,non-neutral
594,sadness
595,neutral
596,surprise
597,joy
598,anger
599,anger
600,neutral
601,non-neutral
602,neutral
603,joy
604,neutral
605,surprise
606,sadness
607,sadness
608,neutral
609,sadness
610,neutral
611,sadness
612,non-neutral
613,neutral
614,anger
615,neutral
616,non-neutral
617,neutral
618,surprise
619,non-neutral
620,neutral
621,joy
622,surprise
623,joy
624,neutral
625,non-neutral
626,neutral
627,neutral
628,joy
629,neutral
630,non-neutral
631,neutral
632,surprise
633,anger
634,joy
635,non-neutral
636,non-neutral
637,non-neutral
638,non-neutral
639,joy
640,neutral
641,disgust
642,surprise
643,neutral
644,sadness
645,non-neutral
646,neutral
647,joy
648,joy
649,sadness
650,neutral
651,neutral
652,neutral
653,neutral
654,neutral
655,joy
656,surprise
657,neutral
658,joy
659,joy
660,neutral
661,surprise
662,anger
663,neutral
664,joy
665,neutral
666,non-neutral
667,neutral
668,non-neutral
669,surprise
670,non-neutral
671,joy
672,neutral
673,neutral
674,non-neutral
675,non-neutral
676,anger
677,neutral
678,non-neutral
679,non-neutral
680,surprise
681,surprise
682,surprise
683,surprise
684,surprise
685,surprise
686,surprise
687,non-neutral
688,surprise
689,neutral
690,neutral
691,neutral
692,anger
693,neutral
694,neutral
695,neutral
696,non-neutral
697,non-neutral
698,surprise
699,neutral
700,neutral
701,neutral
702,joy
703,neutral
704,neutral
705,surprise
706,neutral
707,neutral
708,neutral
709,non-neutral
710,neutral
711,anger
712,neutral
713,neutral
714,surprise
715,surprise
716,neutral
717,neutral
718,joy
719,joy
720,surprise
721,non-neutral
722,surprise
723,neutral
724,disgust
725,surprise
726,surprise
727,surprise
728,surprise
729,non-neutral
730,neutral
731,neutral
732,neutral
733,neutral
734,joy
735,neutral
736,joy
737,joy
738,neutral
739,surprise
740,neutral
741,neutral
742,neutral
743,joy
744,joy
745,neutral
746,non-neutral
747,neutral
748,surprise
749,neutral
750,surprise
751,non-neutral
752,neutral
753,surprise
754,neutral
755,neutral
756,surprise
757,neutral
758,non-neutral
759,anger
760,neutral
761,anger
762,neutral
763,neutral
764,non-neutral
765,neutral
766,neutral
767,neutral
768,non-neutral
769,joy
770,joy
771,neutral
772,non-neutral
773,neutral
774,non-neutral
775,disgust
776,neutral
777,anger
778,neutral
779,anger
780,neutral
781,neutral
782,neutral
783,neutral
784,sadness
785,non-neutral
786,surprise
787,surprise
788,anger
789,surprise
790,neutral
791,neutral
792,anger
793,neutral
794,non-neutral
795,non-neutral
796,joy
797,neutral
798,surprise
799,non-neutral
800,joy
801,non-neutral
802,sadness
803,anger
804,non-neutral
805,joy
806,neutral
807,neutral
808,surprise
809,non-neutral
810,neutral
811,neutral
812,non-neutral
813,neutral
814,neutral
815,neutral
816,neutral
817,neutral
818,neutral
819,neutral
820,neutral
821,neutral
822,anger
823,neutral
824,joy
825,neutral
826,neutral
827,neutral
828,joy
829,joy
830,joy
831,non-neutral
832,neutral
833,neutral
834,surprise
835,non-neutral
836,sadness
837,sadness
838,non-neutral
839,neutral
840,neutral
841,neutral
842,non-neutral
843,non-neutral
844,neutral
845,neutral
846,non-neutral
847,surprise
848,neutral
849,neutral
850,non-neutral
851,joy
852,neutral
853,neutral
854,neutral
855,surprise
856,joy
857,neutral
858,non-neutral
859,neutral
860,neutral
861,neutral
862,surprise
863,neutral
864,non-neutral
865,anger
866,neutral
867,neutral
868,neutral
869,neutral
870,neutral
871,surprise
872,neutral
873,surprise
874,surprise
875,surprise
876,neutral
877,surprise
878,surprise
879,neutral
880,non-neutral
881,surprise
882,neutral
883,joy
884,neutral
885,neutral
886,neutral
887,non-neutral
888,neutral
889,disgust
890,neutral
891,joy
892,joy
893,neutral
894,neutral
895,surprise
896,non-neutral
897,surprise
898,neutral
899,neutral
900,neutral
901,neutral
902,joy
903,joy
904,joy
905,surprise
906,non-neutral
907,surprise
908,anger
909,neutral
910,neutral
911,joy
912,non-neutral
913,anger
914,joy
915,neutral
916,joy
917,surprise
918,surprise
919,surprise
920,neutral
921,surprise
922,anger
923,surprise
924,surprise
925,neutral
926,anger
927,anger
928,neutral
929,neutral
930,neutral
931,non-neutral
932,neutral
933,neutral
934,joy
935,surprise
936,surprise
937,joy
938,neutral
939,non-neutral
940,neutral
941,sadness
942,neutral
943,non-neutral
944,non-neutral
945,non-neutral
946,surprise
947,neutral
948,non-neutral
949,joy
950,surprise
951,joy
952,surprise
953,surprise
954,neutral
955,neutral
956,non-neutral
957,surprise
958,non-neutral
959,non-neutral
960,neutral
961,non-neutral
962,surprise
963,surprise
964,neutral
965,non-neutral
966,surprise
967,surprise
968,surprise
969,joy
970,joy
971,surprise
972,neutral
973,neutral
974,neutral
975,neutral
976,joy
977,neutral
978,neutral
979,neutral
980,neutral
981,non-neutral
982,non-neutral
983,neutral
984,neutral
985,anger
986,neutral
987,neutral
988,neutral
989,neutral
990,non-neutral
991,joy
992,non-neutral
993,neutral
994,neutral
995,surprise
996,sadness
997,surprise
998,neutral
999,neutral
1000,neutral
1001,neutral
1002,surprise
1003,non-neutral
1004,joy
1005,neutral
1006,neutral
1007,joy
1008,surprise
1009,non-neutral
1010,neutral
1011,neutral
1012,non-neutral
1013,surprise
1014,neutral
1015,joy
1016,non-neutral
1017,non-neutral
1018,neutral
1019,non-neutral
1020,joy
1021,neutral
1022,neutral
1023,neutral
1024,neutral
1025,neutral
1026,surprise
1027,neutral
1028,neutral
1029,joy
1030,neutral
1031,neutral
1032,sadness
1033,surprise
1034,neutral
1035,joy
1036,joy
1037,neutral
1038,neutral
1039,sadness
1040,non-neutral
1041,neutral
1042,neutral
1043,neutral
1044,joy
1045,surprise
1046,surprise
1047,surprise
1048,non-neutral
1049,non-neutral
1050,neutral
1051,non-neutral
1052,surprise
1053,neutral
1054,neutral
1055,non-neutral
1056,non-neutral
1057,non-neutral
1058,non-neutral
1059,neutral
1060,neutral
1061,non-neutral
1062,non-neutral
1063,neutral
1064,joy
1065,non-neutral
1066,joy
1067,neutral
1068,neutral
1069,neutral
1070,surprise
1071,surprise
1072,surprise
1073,neutral
1074,surprise
1075,surprise
1076,surprise
1077,joy
1078,neutral
1079,non-neutral
1080,non-neutral
1081,neutral
1082,neutral
1083,non-neutral
1084,non-neutral
1085,neutral
1086,neutral
1087,neutral
1088,non-neutral
1089,non-neutral
1090,neutral
1091,joy
1092,surprise
1093,neutral
1094,disgust
1095,neutral
1096,neutral
1097,neutral
1098,neutral
1099,neutral
1100,non-neutral
1101,non-neutral
1102,neutral
1103,neutral
1104,sadness
1105,neutral
1106,neutral
1107,neutral
1108,non-neutral
1109,neutral
1110,neutral
1111,sadness
1112,surprise
1113,joy
1114,surprise
1115,neutral
1116,disgust
1117,disgust
1118,neutral
1119,neutral
1120,neutral
1121,neutral
1122,neutral
1123,neutral
1124,neutral
1125,surprise
1126,neutral
1127,neutral
1128,neutral
1129,neutral
1130,non-neutral
1131,non-neutral
1132,non-neutral
1133,neutral
1134,neutral
1135,non-neutral
1136,surprise
1137,joy
1138,non-neutral
1139,joy
1140,neutral
1141,neutral
1142,neutral
1143,neutral
1144,neutral
1145,neutral
1146,neutral
1147,surprise
1148,non-neutral
1149,surprise
1150,anger
1151,neutral
1152,surprise
1153,non-neutral
1154,neutral
1155,neutral
1156,joy
1157,anger
1158,surprise
1159,neutral
1160,non-neutral
1161,neutral
1162,anger
1163,non-neutral
1164,sadness
1165,non-neutral
1166,surprise
1167,neutral
1168,non-neutral
1169,surprise
1170,non-neutral
1171,non-neutral
1172,surprise
1173,neutral
1174,non-neutral
1175,neutral
1176,anger
1177,neutral
1178,joy
1179,surprise
1180,non-neutral
1181,surprise
1182,neutral
1183,neutral
1184,neutral
1185,neutral
1186,neutral
1187,neutral
1188,non-neutral
1189,surprise
1190,surprise
1191,non-neutral
1192,neutral
1193,surprise
1194,joy
1195,neutral
1196,non-neutral
1197,neutral
1198,neutral
1199,neutral
1200,non-neutral
1201,non-neutral
1202,joy
1203,neutral
1204,non-neutral
1205,joy
1206,neutral
1207,neutral
1208,anger
1209,neutral
1210,non-neutral
1211,surprise
1212,neutral
1213,joy
1214,non-neutral
1215,neutral
1216,joy
1217,anger
1218,anger
1219,neutral
1220,joy
1221,surprise
1222,non-neutral
1223,non-neutral
1224,surprise
1225,neutral
1226,neutral
1227,joy
1228,sadness
1229,neutral
1230,non-neutral
1231,neutral
1232,non-neutral
1233,anger
1234,joy
1235,neutral
1236,neutral
1237,joy
1238,neutral
1239,joy
1240,joy
1241,neutral
1242,non-neutral
1243,non-neutral
1244,neutral
1245,anger
1246,surprise
1247,surprise
1248,surprise
1249,non-neutral
1250,non-neutral
1251,neutral
1252,surprise
1253,surprise
1254,non-neutral
1255,surprise
1256,surprise
1257,neutral
1258,joy
1259,neutral
1260,neutral
1261,non-neutral
1262,neutral
1263,neutral
1264,joy
1265,surprise
1266,surprise
1267,non-neutral
1268,surprise
1269,surprise
1270,neutral
1271,neutral
1272,neutral
1273,joy
1274,joy
1275,neutral
1276,neutral
1277,neutral
1278,non-neutral
1279,surprise
1280,neutral
1281,surprise
1282,fear
1283,surprise
1284,non-neutral
1285,neutral
1286,joy
1287,neutral
1288,neutral
1289,joy
1290,surprise
1291,fear
1292,surprise
1293,neutral
1294,surprise
1295,surprise
1296,neutral
1297,disgust
1298,surprise
1299,neutral
1300,neutral
1301,joy
1302,neutral
1303,non-neutral
1304,neutral
1305,joy
1306,neutral
1307,non-neutral
1308,non-neutral
1309,surprise
1310,surprise
1311,neutral
1312,surprise
1313,joy
1314,surprise
1315,non-neutral
1316,non-neutral
1317,joy
1318,non-neutral
1319,neutral
1320,non-neutral
1321,joy
1322,non-neutral
1323,neutral
1324,neutral
1325,sadness
1326,surprise
1327,non-neutral
1328,surprise
1329,neutral
1330,non-neutral
1331,neutral
1332,neutral
1333,neutral
1334,disgust
1335,joy
1336,surprise
1337,disgust
1338,neutral
1339,neutral
1340,surprise
1341,neutral
1342,joy
1343,surprise
1344,sadness
1345,joy
1346,surprise
1347,surprise
1348,non-neutral
1349,anger
1350,non-neutral
1351,non-neutral
1352,non-neutral
1353,non-neutral
1354,non-neutral
1355,neutral
1356,neutral
1357,neutral
1358,neutral
1359,neutral
1360,neutral
1361,non-neutral
1362,sadness
1363,neutral
1364,neutral
1365,neutral
1366,neutral
1367,neutral
1368,neutral
1369,surprise
1370,neutral
1371,surprise
1372,neutral
1373,neutral
1374,non-neutral
1375,joy
1376,surprise
1377,joy
1378,non-neutral
1379,sadness
1380,non-neutral
1381,non-neutral
1382,non-neutral
1383,surprise
1384,non-neutral
1385,neutral
1386,neutral
1387,non-neutral
1388,non-neutral
1389,neutral
1390,neutral
1391,surprise
1392,non-neutral
1393,joy
1394,non-neutral
1395,neutral
1396,neutral
1397,non-neutral
1398,neutral
1399,neutral
1400,neutral
1401,neutral
1402,surprise
1403,neutral
1404,surprise
1405,joy
1406,joy
1407,neutral
1408,neutral
1409,surprise
1410,non-neutral
1411,joy
1412,surprise
1413,surprise
1414,surprise
1415,joy
1416,anger
1417,surprise
1418,neutral
1419,surprise
1420,non-neutral
1421,surprise
1422,neutral
1423,neutral
1424,neutral
1425,neutral
1426,surprise
1427,non-neutral
1428,non-neutral
1429,joy
1430,neutral
1431,neutral
1432,neutral
1433,joy
1434,surprise
1435,neutral
1436,non-neutral
1437,neutral
1438,joy
1439,surprise
1440,neutral
1441,surprise
1442,joy
1443,neutral
1444,neutral
1445,surprise
1446,non-neutral
1447,neutral
1448,neutral
1449,neutral
1450,neutral
1451,neutral
1452,neutral
1453,non-neutral
1454,neutral
1455,non-neutral
1456,non-neutral
1457,surprise
1458,neutral
1459,anger
1460,fear
1461,anger
1462,neutral
1463,joy
1464,non-neutral
1465,non-neutral
1466,sadness
1467,surprise
1468,surprise
1469,neutral
1470,neutral
1471,joy
1472,neutral
1473,joy
1474,neutral
1475,non-neutral
1476,neutral
1477,neutral
1478,neutral
1479,non-neutral
1480,neutral
1481,neutral
1482,neutral
1483,joy
1484,sadness
1485,neutral
1486,neutral
1487,neutral
1488,neutral
1489,surprise
1490,surprise
1491,surprise
1492,anger
1493,non-neutral
1494,joy
1495,non-neutral
1496,surprise
1497,surprise
1498,non-neutral
1499,surprise
1500,joy
1501,surprise
1502,non-neutral
1503,neutral
1504,neutral
1505,neutral
1506,sadness
1507,neutral
1508,neutral
1509,neutral
1510,non-neutral
1511,non-neutral
1512,joy
1513,neutral
1514,non-neutral
1515,neutral
1516,neutral
1517,non-neutral
1518,surprise
1519,neutral
1520,surprise
1521,non-neutral
1522,non-neutral
1523,sadness
1524,non-neutral
1525,neutral
1526,anger
1527,neutral
1528,neutral
1529,neutral
1530,neutral
1531,non-neutral
1532,joy
1533,surprise
1534,non-neutral
1535,non-neutral
1536,neutral
1537,joy
1538,joy
1539,neutral
1540,neutral
1541,neutral
1542,joy
1543,neutral
1544,sadness
1545,surprise
1546,neutral
1547,joy
1548,neutral
1549,surprise
1550,anger
1551,non-neutral
1552,non-neutral
1553,non-neutral
1554,non-neutral
1555,surprise
1556,surprise
1557,surprise
1558,non-neutral
1559,surprise
1560,joy
1561,sadness
1562,non-neutral
1563,neutral
1564,neutral
1565,neutral
1566,neutral
1567,neutral
1568,neutral
1569,sadness
1570,neutral
1571,non-neutral
1572,neutral
1573,neutral
1574,non-neutral
1575,surprise
1576,neutral
1577,neutral
1578,neutral
1579,non-neutral
1580,anger
1581,neutral
1582,surprise
1583,surprise
1584,joy
1585,joy
1586,joy
1587,joy
1588,neutral
1589,surprise
1590,neutral
1591,joy
1592,neutral
1593,neutral
1594,neutral
1595,surprise
1596,neutral
1597,surprise
1598,neutral
1599,anger
1600,neutral
1601,anger
1602,neutral
1603,neutral
1604,joy
1605,neutral
1606,neutral
1607,surprise
1608,neutral
1609,neutral
1610,neutral
1611,surprise
1612,neutral
1613,non-neutral
1614,surprise
1615,non-neutral
1616,surprise
1617,neutral
1618,non-neutral
1619,joy
1620,neutral
1621,neutral
1622,neutral
